496,CENTRO - ZONA URBANA,7498
497,JARDIM ALVORADA,63770
499,ZONA RURAL,10766
501,CENTRO,62910
502,PEDRINHAS,5371
505,POVOADO SANTA MARIA ETERNA,33677
506,DISTRITO PARATECA,37052
507,RESIDENCIAL MOMBAÇA,68616
508,CENTRO,33871
509,POVOADO PORTEIRA DE SANTA CRUZ,39055
512,CENTRO,37591
514,CENTRO,67792
521,CENTRO,70475
522,POLVILHO,62855
524,BARRINHA,88790
525,EDEN,71455
526,POVOADO SANTA LUZIA DO CARNEIRO,46639
527,ARAPIRANGA,5630
528,ILHA,58815
529,POVOADO VILA DO RECIFE,36714
531,CENTRO,24678
532,NOVO HORIZONTE,4189
538,VILA VIANA - ZONA URBANA,7935
540,CENTRO,36218
541,VILA SAO JOAQUIM,39985
542,CENTRO,53775
543,CENTRO,38776
546,CENTRO,50679
547,CENTRO,63177
550,JARDIM IMPERIAL,70998
551,CENTRO,56871
552,POV DE SÃO LOURENÇO,24236
554,JARDIM ANGELA (ZONA LESTE),71072
555,CÓRREGO DOS CAMPINHOS,42676
556,VILA FANTON,71072
557,DISTRITO DE SÃO FRANCISCO DO JATAÍ,46639
558,JARDIM NOVO PARELHEIROS,71072
560,DISTRITO UNIAO DO NORTE,98817
561,QUEIMADAS,13188
563,JARDIM DOS PRADOS,68535
564,CENTRO,90905
565,CENTRO,25330
566,VILA SAO PEDRO,92274
568,ZONA RURAL,26239
569,DOS ESTADOS,83577
468,SAO JOSE,88013
570,PARQUE CONTINENTAL I,64777
572,ZONA RURAL,75973
573,CONSELHO,51594
575,CENTRO,58394
576,VILA,21512
580,DISTRITO DE PACIENCIA,50431
581,PARQUE PARAISO,58394
582,CENTRO,21512
584,SERRA VERDE,44814
585,VILA ITAIM,71072
588,PARQUE ATHENEU,93734
591,BONOCÔ,38490
593,DISTRITO ASSIS,13838
594,NUCLEO,87521
595,MATRIZ,66893
596,VILA ASSIS BRASIL,66893
597,PREAOCA,13196
600,NOVA VIDA,4090
602,PONTE PRETA,62910
603,CENTRO,31593
605,ZONA RURAL,12416
606,CENTRO,67431
607,ZONA RURAL,87793
608,SETOR CAMPINAS,93734
610,ZONA RURAL,11657
611,NOVO ORIENTE,41254
612,CENTRO,92215
613,CENTRO,40096
614,SETOR 04,213
615,POVOADO CAJAÍBA,31577
617,CENTRO,51438
619,DISTRITO DE ROÇADINHO,23833
620,CIPO,64033
622,PAZ E AMOR,16756
624,CENTRO,30953
625,VILA NOVA,56979
626,CENTRO,17418
627,ZONA RURAL,17418
628,CAMPO DA MANGUEIRA,17418
629,CENTRO,13579
630,MORADA DO SOL,80578
631,CENTRO,46655
632,DISTRITO TAPIRAIM,25615
633,CENTRO,56316
634,CENTRO,37338
635,CENTRO,35653
638,DISTRITO RIO DO SUL,38555
639,ZONA RURAL,8460
642,CENTRO,69434
643,PARQUE GUARANI,47333
644,LINHA BIRIVA,87262
646,CENTRO,81574
649,CENTRO,38970
650,POVOADO ALTO,39942
651,SUMARÉ,48658
652,NOSSA SENHORA DE FÁTIMA,48658
653,CENTRO,4057
656,DISTRITO BEM BOM,34436
657,CENTRO,34436
658,ZONA RURAL,31038
659,DISTRITO ITABATAN,37419
660,CABEÇAS,49212
661,DISTRITO AMARANTINA,49212
662,POVOADO VILA SERRARIA ZONA RURAL,7315
663,POVOADO CAMPO GRANDE,38695
665,AMÉRICA,5118
666,SANTO ANTÔNIO,58815
667,BELO NORTE,11592
668,SÃO PAULO,45691
669,GRANJA VIANA,63614
670,DISTRITO IPUEIRA - ZONA RURAL,25798
671,POVOADO DE PERIPERI,38776
673,BANANA,98558
674,SEDE,15881
679,CENTRO,53813
682,VOLTA GRANDE,59250
683,JARDIM JOSE GATTO,71676
684,CENTRO,54372
686,JARDIM RIACHO DAS PEDRAS,43710
687,CENTRO,13153
688,POPULARES,13153
